,Ex,En,He
0,81.5,2.349964007466563,0.6911361397088795
1,82.625,4.974090482470891,2.2259497846135408
2,84.0,2.5066282746310002,1.3102727551240676
3,83.375,3.289949610453188,2.073941069721827
4,87.875,2.349964007466563,0.17675008396920158
5,88.0,2.5066282746310002,1.0702271354211883
6,89.75,2.193299740302125,0.7393098851858314
7,87.125,3.015787142915422,1.1470580605794634
8,86.625,4.229935213439813,0.6940011701602737
9,79.375,3.79910847873761,0.40665475573126364
10,79.375,6.540733154115267,1.4925209428249984
11,84.25,3.6032781447820628,0.8119382699399492
12,83.75,3.211617476870969,0.8700239960400645
13,85.875,3.6032781447820628,1.3087456524338512
14,85.375,3.6032781447820628,2.4198496493835413
15,79.125,3.6032781447820628,1.3087456524338512
16,83.125,2.389130074257672,0.3624130275848853
17,80.5,3.916606679110938,1.2318015174071053
18,83.625,4.229935213439813,1.0261901361893917
